Texto,Ruta,Etiqueta
36,"I think this is a test of leadership, and I think the American people know the difference.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/79.wav,0.0
37,"These people depend upon all of us for the little security that they have, and I'm not going to do it that way.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/84.wav,0.0
38,The rate of defense spending increase can be slowed.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/85.wav,0.0
39,"Certainly we can find a coffeepot that costs something less than $7,000.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/86.wav,0.0
40,And there are other ways of squeezing this budget without constantly picking on our senior citizens and the most vulnerable in American life.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/87.wav,1.0
41,"And that's why the Congress, including the Republicans, have not gone along with the President's recommendations.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/88.wav,0.0
42,Yes.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/92.wav,0.0
43,I don't believe that Mr. Mondale has a plan for balancing the budget; he has a plan for raising taxes.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/93.wav,0.0
44,"And, as a matter of fact, the biggest single tax increase in our nation's history took place 1977.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/94.wav,0.0
45,"And for the 5 years previous to our taking office, taxes doubled in the United States, and the budgets increased $318 billion.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/95.wav,0.0
46,"So, there is no ratio between taxing and balancing a budget.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/96.wav,0.0
47,"Whether you borrow the money or whether you simply tax it away from the people, you're taking the same amount of money out of the private sector, unless and until you bring down government's share of what it is taking.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/97.wav,0.0
48,"But I'm going to violate that rule and say ""never.''",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/99.wav,0.0
49,I will never stand for a reduction of the Social Security benefits to the people that are now getting them.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/100.wav,0.0
50,"Well, that's exactly the commitment that was made to the American people in 1980: He would never reduce benefits.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/102.wav,0.0
51,"And of course, what happened right after the election is they proposed to cut Social Security benefits by 25 percent -- reducing the adjustment for inflation, cutting out minimum benefits for the poorest on Social Security, removing educational benefits for dependents whose widows were trying -- with widows trying to get them through college.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/103.wav,0.0
52,Everybody remembers that; people know what happened.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/104.wav,0.0
53,There's a difference.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/105.wav,0.0
54,"I have fought for Social Security and Medicare and for things to help people who are vulnerable all my life, and I will do it as President of the United States.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/106.wav,0.0
55,"Well, first of all, I think the first answer this evening suggests exactly what I'm saying.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/115.wav,0.0
56,"There is no question that we face this massive deficit, and almost everybody agrees unless we get it down, the chances for long-term, healthy growth are nil.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/116.wav,0.0
57,And it's also unfair to dump these tremendous bills on our children.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/117.wav,0.0
58,The President says it will disappear overnight because of some reason.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/118.wav,0.0
59,No one else believes that's the case.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/119.wav,0.0
60,"I do, and I'm standing up to the issue with an answer that's fair.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/120.wav,0.0
61,I think that's what leadership is all about.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/121.wav,0.0
62,"There's a difference between being a quarterback and a cheerleader, and when there's a real problem, a President must confront it.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/122.wav,0.0
63,"What I was referring to, of course, in the comment that you referred to was the situation in Lebanon.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/123.wav,0.0
64,"Now, for three occasions, one after another, our Embassies were assaulted in the same way by a truck with demolitions.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/124.wav,0.0
65,"The first time -- and I did not criticize the President, because these things can happen -- once, and sometimes twice -- the second time the barracks in Lebanon were assaulted, as we all remember.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/125.wav,0.0
66,"There was two or three commission reports, recommendations by the CIA, the State Department, and the others, and the third time there was even a warning from the terrorists themselves.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/126.wav,0.0
67,"Now, I believe that a President must command that White House and those who work for him.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/127.wav,0.0
68,"It's the toughest job on Earth, and you must master the facts and insist that things that must be done are done.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/128.wav,0.0
69,"I believe that the way in which I will approach the Presidency is what's needed, because all my life that has been the way in which I have sought to lead.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/129.wav,0.0
70,And that's why in this campaign I'm telling you exactly what I want to do.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/130.wav,0.0
71,I am answering your questions.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/131.wav,0.0
72,"I am trying to provide leadership now, before the election, so that the American people can participate in that decision.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/132.wav,0.0
73,"And I think tonight, as we contrast for the first time our differing approach to government, to values, to the leadership in this country, I think as this debate goes forward, the American people will have for the first time a chance to weigh the two of us against each other.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/136.wav,0.0
74,"And I think, as a part of that process, what I am trying to say will come across, and that is that we must lead, we must command, we must direct, and a President must see it like it is.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/137.wav,0.0
75,"He must stand for the values of decency that the American people stand for, and he must use the power of the White House to try to control these nuclear weapons and lead this world toward a safer world.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/138.wav,0.0
76,"Well, whether he does or not, let me suggest my own idea about the leadership factor, since you've asked it.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/142.wav,0.0
77,"And, incidentally, I might say that with regard to the 25-percent cut in Social Security -- before I get to the answer to your question -- the only 25-percent cut that I know of was accompanying that huge 1977 tax increase, was a cut of 25 percent in the benefits for every American who was born after 1916.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/143.wav,0.0
78,"Now, leadership.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/144.wav,0.0
79,"First of all, I think you must have some principles you believe in.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/145.wav,0.0
80,"In mine, I happen to believe in the people and believe that the people are supposed to be dominant in our society -- that they, not government, are to have control of their own affairs to the greatest extent possible, with an orderly society.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/146.wav,1.0
81,"Now, having that, I think also that in leadership -- well, I believe that you find people, positions such as I'm in who have the talent and ability to do the things that are needed in the various departments of government.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/147.wav,0.0
82,I don't believe that a leader should be spending his time in the Oval Office deciding who's going to play tennis on the White House court.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/148.wav,0.0
83,"And you let those people go with the guidelines of overall policy, not looking over their shoulder and nitpicking the manner in which they go at the job.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/149.wav,1.0
84,"You are ultimately responsible, however, for that job.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/150.wav,0.0
85,But I also believe something else about that.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/151.wav,0.0
86,"I believe that -- and when I became Governor of California, I started this, and I continue it in this office -- that any issue that comes before me, I have instructed Cabinet members and staff they are not to bring up any of the political ramifications that might surround the issue.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/152.wav,0.0
87,I don't want to hear them.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/153.wav,0.0
88,I want to hear only arguments as to whether it is good or bad for the people -- is it morally right?,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/154.wav,0.0
89,"And on that basis and that basis alone, we make a decision on every issue.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/155.wav,0.0
90,"Now, with regard to my feeling about why I thought that his record bespoke his possible taking us back to the same things that we knew under the previous administration, his record is that he spoke in praise of deficits several times, said they weren't to be abhorred -- that, as a matter of fact, he at one time said he wished the deficit could be doubled, because they stimulate the economy and helped reduce unemployment.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/156.wav,0.0
91,Our policy was not to cut subsidies.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/160.wav,0.0
92,"We have believed in partnership, and that was an example of a partnership between, not only local government and the Federal Government but also between the private sector that built that particular structure.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/161.wav,0.0
93,"And this is what we've been trying to do, is involve the Federal Government in such partnerships.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/162.wav,0.0
94,"We are today subsidizing housing for more than 10 million people, and we're going to continue along that line.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/163.wav,0.0
95,"We have no thought of throwing people out into the snow, whether because of age or need.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/164.wav,0.0
96,"We have preserved the safety net for the people with true need in this country, and it has been pure demagoguery that we have in some way shut off all the charitable programs or many of them for the people who have real need.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/165.wav,0.0
97,"The safety net is there, and we're taking care of more people than has ever been taken care of before by any administration in this country.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/166.wav,0.0
98,"Well, I guess I'm reminded a little bit of what Will Rogers once said about Hoover.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/168.wav,0.0
99,"He said, ""It's not what he doesn't know that bothers me; it's what he knows for sure that just ain't so.''",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/169.wav,0.0
100,It's not an opinion; it's a fact.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/171.wav,0.0
101,"And when the President was asked the other day, ""What do you want to cut in the budget?",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/172.wav,0.0
102,"'', he said, ""Cut those things I asked for but didn't get.''",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/173.wav,0.0
103,The second fact is that the housing unit for senior citizens that the President dedicated in Buffalo was only made possible through a Federal assistance program for senior citizens that the President's budget sought to terminate.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/175.wav,0.0
104,"So, if he'd had his way, there wouldn't have been any housing project there at all.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/176.wav,0.0
105,"This administration has taken a meat cleaver out, in terms of Federal-assisted housing, and the record is there.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/177.wav,0.0
106,We have to see the facts before we can draw conclusions.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/178.wav,0.0
107,"Well, let me just respond with regard to Social Security.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/180.wav,0.0
108,"When we took office, we discovered that the program that the Carter-Mondale administration had said would solve the fiscal problems of Social Security for the next 50 years wouldn't solve them for 5.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/181.wav,0.0
109,Social Security was due to go bankrupt before 1983.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/182.wav,0.0
110,"Any proposals that I made at that time were at the request of the chairman, a Democrat, of one of the leading committees, who said we have to do something before the program goes broke and the checks bounce.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/183.wav,0.0
111,"And so, we made a proposal.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/184.wav,0.0
112,"And then in 1982, they used that proposal in a demagogic fashion for the 1982 campaign.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/185.wav,0.0
113,"And 3 days after the election in 1982, they came to us and said, Social Security, we know, is broke.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/186.wav,0.0
114,"Indeed, we had to borrow $17 billion to pay the checks.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/187.wav,0.0
115,"And then I asked for a bipartisan commission, which I'd asked for from the beginning, to sit down and work out a solution.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/188.wav,0.0
116,"And so, the whole matter of what to do with Social Security has been resolved by bipartisan legislation, and it is on a sound basis now for as far as you can see into the next century.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/189.wav,0.0
117,"Well, I was raised to have a faith and a belief and have been a member of a church since I was a small boy.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/192.wav,0.0
118,"In our particular church, we did not use that term, ""born again,'' so I don't know whether I would fit that -- that particular term.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/193.wav,0.0
119,"But I have -- thanks to my mother, God rest her soul -- the firmest possible belief and faith in God.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/194.wav,0.0
120,"And I don't believe -- I believe, I should say, as Lincoln once said, that I could not -- I would be the most stupid man in the world if I thought I could confront the duties of the office I hold if I could not turn to someone who was stronger and greater than all others.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/195.wav,0.0
121,And I do resort to prayer.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/196.wav,0.0
122,"At the same time, however, I have not believed that prayer should be introduced into an election or be a part of a political campaign -- or religion a part of that campaign.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/197.wav,0.0
123,"As a matter of fact, I think religion became a part of this campaign when Mr. Mondale's running mate said I wasn't a good Christian.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/198.wav,0.0
124,"So, it does play a part in my life.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/199.wav,0.0
125,I have no hesitancy in saying so.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/200.wav,0.0
126,"And, as I say, I don't believe that I could carry on unless I had a belief in a higher authority and a belief that prayers are answered.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/201.wav,0.0
127,The answer to your question is very simple about why I don't go to church.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/203.wav,0.0
128,"I have gone to church regularly all my life, and I started to here in Washington.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/204.wav,0.0
129,"And now, in the position I hold and in the world in which we live, where Embassies do get blown up in Beirut -- we're supposed to talk about that on the debate the 21st, I understand -- but I pose a threat to several hundred people if I go to church.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/205.wav,0.0
130,I know the threats that are made against me.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/206.wav,0.0
131,We all know the possibility of terrorism.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/207.wav,0.0
132,We have seen the barricades that have had to be built around the White House.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/208.wav,0.0
133,"And, therefore, I don't feel -- and my minister knows this and supports me in this position -- I don't feel that I have a right to go to church, knowing that my being there could cause something of the kind that we have seen in other places, in Beirut, for example.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/10_1984/209.wav,0.0
