texts,audio,labels
32,"I think it's much better to have a fair plan which says those with the broader shoulders should bear the greatest burden, and we will make reductions in spending
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/33.wav,1
33,"there you go again! you can't talk about the present, and you can't talk about the future, so you'd want to talk about the past
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/34.wav,0
34,"I think people at home will want to know what do we gonna do for them in the next 5 years, not talking about the past
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/35.wav,0
35,"you backed our spending plans until 2008 it so happens
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/36.wav,0
36,"but let's talk about the future, let's talk about the choices for working families in the future
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/37.wav,0
37,"how are we gonna have fairer taxes, so those with the broader shoulders bear the greatest burden?
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/38.wav,0
38,"are we gonna have common sense reductions in spending?
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/39.wav,0
39,"no I don't Leanne, and let me tell you about the differences between me and David Cameron as you've raised this point and it is an important point
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/40.wav,0
40,"he refuses to have a mansion tax on the most expensive homes, about pounds 2 million, to fund the NHS, and instead he chooses to keep the bedroom tax
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/41.wav,0
41,"I'll have a mansion tax, I'll also have a bankers bonus tax put our young people back to work
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/42.wav,0
42,"I will make fair choices, much fairer choices than him
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/43.wav,0
43,"and he wants to go much further on the deficit, he wants to go much further on spending cuts
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/44.wav,0
44,"and that will mean not just that we balance the books but go further, and that will mean a crushing impact on public service
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/45.wav,1
45,"two weeks ago we had a vote against Torial austerity
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/46.wav,0
46,"I do think we've seen the choice tonight Jillie because, I said I'll cut the deficit every year and we'll balance the books
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/47.wav,0
47,"I said there'll have to be spending reductions outside key areas like the NHS and education
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/48.wav,1
48,"David Cameron has an extreme plan, he's failed in his plan and wants to go much much further
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/49.wav,0
49,"I'm not gonna stand on the stage tonight and don't say they don't need to be difficult decisions
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/50.wav,0
50,"cuts will have to come, but we can do it in a balanced way, we can do it in a fair way
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/51.wav,1
51,"Terry, like so many people around the country I'm deeply concerned about what I see happening in our National Health Service because we see people waiting longer for their test results, longer in A&E, longer to see a GP, longer to have an operation. We've got to turn it round
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/52.wav,1
52,"and when you hear from us leaders tonight I think at home you should ask: Where specifically is the money coming from?
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/53.wav,0
53,"I'll tell you: we're gonna have a mansion tax on the most expensive homes, about pounds 2 million, and that's a clear promise from us
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/54.wav,0
54,"we're going to get money from those hedge funds who're engaging in tax avoidance, and we're gonna get money from the tobacco companies, for a pounds 2.5bn Time to Care Fund
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/55.wav,0
55,"that will hire 20000 more nurses, 8000 more doctors, 5000 more careworkers, and 3000 more midwives
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/56.wav,0
56,"and it's not just more staff, because it's also joining up services from home to hospital, taking on the biggest challenge our NHS faces, which is an aging population cause if people can't get in to see the GP or can't be looked after at home, they end up in A&E, it's a plan to turn the NHS around
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/57.wav,1
57,"Nigel, of course we have to look at those issues and deal with them, but I really don't believe that that is at the root of all the problems of the National Health Service
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/58.wav,1
58,"and I don't want to pick up on something David Cameron said, but he said he'd protected the NHS
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/59.wav,0
59,"I'll ask you at home to decide whether this is what protection looks like
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/60.wav,0
60,"a million people waited last year in A&E for more than 4 hours
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/61.wav,0
61,"we've got ambulances queuing outside our Accident & Emergency units
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/62.wav,0
62,"we're missing the targets for cancer treatment for the first time ever
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/63.wav,0
63,"and to add to that, we had a tent, a tent erected in the hospital car park to treat people in 2015 in our United Kingdom
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/64.wav,0
64,"I do not believe that is protecting the NHS, and his spending plans for the next parliament are even more dangerous for our National Health Service
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/65.wav,1
65,"I'll just say on this Leanne, my two sons were born in a PFI hospital, and it was an old, falling down hospital
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/66.wav,0
66,"but you're right, there need to be limits to privatization
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/67.wav,1
67,"that's why we said we'll roll back the tide of privatisation that is starting under David Cameron, and is about to go much much further
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/68.wav,0
68,"we'll cut the profits of the private sector
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/69.wav,0
69,"he said he's protected the NHS and he said he kept his word
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/70.wav,0
70,"David you made a whole series of promises at the last general election to people
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/71.wav,0
71,"you said no top down reorganization, you didn't listen to the staff, and that's exactly what happened
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/72.wav,0
72,"you said no going back to the days when people had to wait hours on end in A&E and that's exactly what happened
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/73.wav,0
73,"I don't think people will take seriously your promises on the NHS, because you broke all the promises you made at the last general elections
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/74.wav,0
74,"you supported the Health and Social Care Act, which is the recipe for privatisation of our NHS
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/75.wav,1
75,"but there's a bigger issue for people at home, and that's future plans for the NHS
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/76.wav,0
76,"I've set out where the money's coming from
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/77.wav,0
77,"David Cameron is planning to double the spending cuts next year, and bigger cuts in the next 3 years
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/78.wav,0
78,"think what that would mean not just for the NHS, but social care
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/79.wav,0
79,"if you cut social care dramatically, as has happened in this Parliament, you undermine the NHS fundamentally because elderly people don't get the help in their own home, they end up in hospital, and the NHS is creaking at the seams
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/80.wav,1
80,"that is what is happening now, imagine what it would be like with another five years of David Cameron
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/81.wav,0
81,"well look, I would say to everybody at home that: use your vote in this election as a weapon to fight for the future of our National Health Service
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/82.wav,0
82,"I've got to say, over 13 years our Labor government transformed the NHS from 18 month waiting to 18 week waiting
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/83.wav,0
83,"that's our record, and now it's going backwards on your watch.
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/84.wav,1
84,"you failed the British people, you've broken your bond of trust on the National Health System. They believed you, they believed you
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/85.wav,0
85,"look, people at home'll have to decide. I think the NHS is the foundation for working families in our country
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/86.wav,1
86,"that's why my plan says: only when working people succeed that Britain succeed
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/87.wav,1
87,"David Cameron wants to tell you it's all got a lot better, he wants to congratulate himself, patting himself on the back, saying he's done a great job
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/88.wav,0
88,"you've got to decide about what your experiences and what you see in the NHS
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/89.wav,0
89,"John thank you for your question
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/90.wav,0
90,"I changed Labour's approach on immigration because I don't think it's prejudiced to worry about immigration
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/91.wav,1
91,"I think people's concerns are real and they've got to be dealt with, and I want to explain how we'll deal with them
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/92.wav,1
92,"if I'm elected as Prime Minister we'll put in place new rules which say that if you come to this country you won't get benefits for at least the first two years
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/93.wav,0
93,"I will also do something else, which I think is of concern to many people in our country we'll stop the undercutting of wages and conditions that happens so often
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/94.wav,1
94,"employers exploiting migrant labour not paying the minimum wage recruiting only from abroad to undercut wages
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/95.wav,0
95,"there've been just two prosecutions for failure to pay the minimum wage in the last 5 years: we've got to deal with it, and if I'm prime minister, I will
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/96.wav,1
96,"there's one other thing I'll say to you there: if you want a party that will cut Britain off from the rest of the world, that's not me
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/97.wav,1
97,"I believe we've got to play our role in the world, but if you want to party with controls on immigration, that's what I offer
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/98.wav,1
98,"David, I'm wondering what world do you live in
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/99.wav,0
99,"you talked about your negotiating skill in Europe. You made a big stand against the President of the European Commission Jean Claude Juncker
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/100.wav,0
100,"you lost by 26 votes to 2, because you had no allies
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/101.wav,1
101,"and the problem is: David Cameron has marginalized us in Europe
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/102.wav,1
102,"now, I just want to be honest with people at home
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/103.wav,0
103,"there're false promises you get from David Cameron, he stood on this stage 5 years ago and set net migration into the tens of thousands, and yet he said: ""Kick me out!"" if I fail to deliver-well, I suggest you do but he failed on that promise, and he's gonna make that promise again and there's false solutions from Nigel Farage. I'm just gonna be frank with people: I don't think our place lies outside of the European Union
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/104.wav,1
104,"I think that'll be a disaster for jobs, I think that'll be a disaster for families and businesses
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/105.wav,1
105,"let's change Europe so it works better for us including on immigration, but let's not sacrifice jobs businesses and families
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/106.wav,0
106,"David Cameron said earlier that work pays in our country: Rubbish! Work doesn't pay in our country!
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/107.wav,0
107,"there are so many people around our country, millions of people, people watching at home tonight, who are going out doing all the hours that God sends, and who can't feed their family, can't make ends meet at the end of the month
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/108.wav,0
108,"and let's take the issue of zero-hours contracts, because it's relevant to this debate
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/109.wav,0
109,"if work is insecure, if work doesn't pay properly, then you don't get the security that working people need
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/110.wav,1
110,"now I say we should deal with those exploitative zero-hours contacts. It's an absolutely crucial part of this immigration debate
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/111.wav,1
111,"because you've got to create security for the working families of Britain, and that's what I will do
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/112.wav,1
112,"my priority as a Prime Minister is to tackle the cost of living crisis, sort our NHS, and build a future for our young people
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/113.wav,1
113,"and look, you know, the British people have a decision to make tonight, and at the general election
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/114.wav,0
114,"David Cameron will spend the next 2 years deciding whether to exit the European Union, something he doesn't even want to do: he says he wants to stay in the European Union!
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/115.wav,0
115,"so look, I say, there's better priorities for our country and they'll be my priorities as a Prime Minister
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/116.wav,1
116,"well we did get it wrong, and I've said we got it wrong, and I've changed our approach
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/117.wav,0
117,"but I do think there's a wider issue here about the opportunity for our young people. Nick and David were saying how brilliant everything is on apprenticeships
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/118.wav,1
118,"take an issue: IT
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/119.wav,0
119,"we import lot we bring lots of people into this country, who are contributing to our country from other countries, with special skills in IT
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/120.wav,0
120,"but apprenticeships in IT are actually falling in our country
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/121.wav,0
121,"well the answer is: we should say that if you want to bring in a skilled worker from outside the European Union you must provide apprenticeships to the next generation
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/122.wav,1
122,"because homegrown opportunity is an essential part of dealing with people's concerns
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/123.wav,1
123,"Rebecca, you speak for so many young people right across our country so many young people I meet, who are asking why they're paying the price of hard times
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/124.wav,0
124,"and that's what we've got to turn round, and that's what I'm going to do if I'm your Prime Minister
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/125.wav,1
125,"look, the first thing we've got to do is we've got to guarantee all young people access to good education so you get a high-quality apprenticeship if you get the grades, that's a guarantee the next Labour government will make and also cut the tuition fee from pounds 9000 to pounds 6000 because I don't want our young people drowning in debt when they leave University
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/126.wav,1
126,"next we've got to create good jobs for young people, that's why I will ban the exploitation of zero-hours contracts
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/127.wav,1
127,"I will say: if you do regular hours, you get a regular contract
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/128.wav,0
128,"and lastly we'll build homes again in our country
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/129.wav,0
129,"200000 homes a year by 2020 and get a fair deal for young people in the private rented sector where many young people are being ripped off
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/130.wav,0
130,"I believe in what I call the promise of Britain: that the next generation does better than the last. I believe we can restore it
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/131.wav,1
131,"I think I would say to David Cameron is of course his scares about free school are wrong
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/132.wav,0
132,"we do not want a system in the future which has unqualified teachers, 17000 unqualified teachers in our schools
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/133.wav,1
133,"but there is a bigger issue because Rebecca who asks the questions was about asking about young people going into the world today
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/134.wav,0
134,"and you've heard David Cameron and Nick Clegg defend a system which ensures that young people leave University with pounds 44000 with a debt
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/135.wav,0
135,"he didn't have to leave school with pounds 44000 with a debt, nor did he, now nor did I
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/136.wav,0
136,"but the difference with me is: I'm gonna do something about it. I'm gonna cut the tuition fee. Would I like to go further than pounds 6000? Of course I would
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/137.wav,0
137,"but is a costed plan to reduce the tuition fee
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/138.wav,0
138,"and Nick, you're describing a broken promise as the next best thing-and I'm gonna try and remember that for the future-but you know, it was a broken promise
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/139.wav,0
139,"and let me just point this out: David, when you were in opposition at the time, as leader of the opposition you were saying the banks were overregulated, so I'm really not gonna take any lectures from you about the global financial crisis
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/140.wav,0
140,"I want to pick up on something that's very important to young people, which is: renting in the private sector
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/141.wav,1
141,"lots of young people have this experience, it's incredibly insecure, it's sometimes substandard accommodation
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/142.wav,0
142,"and we're the only party with a plan to get a fair deal in the private rented sector 3-year tenancies, not one-year tenancies, rent stabilized during that time, and stopping letting agents charging tenants, because at the moment they charge tenants and landlords fees
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/143.wav,0
143,"and that is a massive issue for young people all across our country and we will act
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/144.wav,1
144,"but is all part of saying, look, we've got to stand up somebody's powerful interests and actually make this country work for young people
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/145.wav,1
145,"I shall be very practical about this. What's one of the most important things for our young people? the quality of jobs.
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/146.wav,1
146,"we'got 700000 people in our country on zero-hours contracts, probably some people watching tonight at home, waiting for that text message to say whether you have work tomorrow
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/147.wav,0
147,"and David Cameron says he couldn't live on a zero-hours contract. Well nor could I David.
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/148.wav,0
148,"but the difference with me is I'm going to do something about it. I'm gonna legislate, so if you do regular hours you get a regular contract not a zero-hours contract
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/149.wav,0
149,"and it goes to what kind of country we build: do we build a country with security for working families and for our young people?
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/150.wav,0
150,"there is a big choice in this general election: he thinks that as long as a few corporations and individuals do well, the richest and most powerful, the wealth would trickle down to everyone else
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/151.wav,0
