Texto,labels,predicted_label
"But they're voting, and it's bringing it back to the vote of the people, which is what everybody wanted, including the founders if they knew about this issue, which, frankly, they didn't.",,0
But everybody wanted it brought back.,,0
Ronald Reagan wanted it brought back.,,0
He wasn't able to get it.,,0
"Everybody wanted it brought back, and many presidents had tried to get it back.",,0
I was the one to do it.,,0
"And, again, this gives it the vote of the people, and that's where they wanted it.",,0
Every legal scholar wanted it that way.,,0
"I support Roe v. Wade, which had three trimesters.",,0
The first time is between the woman and the doctor.,,0
Second time is between the doctor and an extreme situation.,,0
"The third time is between the doctor, I mean, between the woman and the state.",,0
"The idea that the politicians, that the founders wanted the politicians to be the ones making decisions about women's health is ridiculous.",,0
That's the last.,,0
No politician should be making that decision.,,0
A doctor should be making those decisions.,,0
That's how it should be run.,,0
That's what you're going to do.,,0
"And if I'm elected, I'm going to restore Roe v. Wade.",,0
" So that means he can take the life of the baby in the ninth month and even after birth because some states, Democrat run, take it after birth.",,0
"Again, the governor, former governor of Virginia, put the baby down, then we decide what to do with it.",,0
"So he's willing to, as we say, rip the baby out of the womb in the ninth month and kill the baby.",,0
"Nobody wants that to happen, Democrat or Republican.",,0
Nobody wants it to happen.,,0
 That is simply not true.,,0
The Roe v. Wade does not provide for that.,,0
That's not the circumstance.,,0
"Only if a woman's life is in danger, she's going to die.",,0
That's the only circumstance in which that can happen.,,0
"But we are not for late-term abortion, period, period, period.",,0
" Under Roe v. Wade, you have late-term abortion.",,0
"You can do whatever you want, depending on the state.",,0
You can do whatever you want.,,0
We don't think that's a good thing.,,0
We think it's a radical thing.,,0
"We think the Democrats are the radicals, not the Republicans.",,0
"For 51 years, that was the law.",,0
"Fifty-one years, Constance's Scholarship said it was the right way to go.",,0
"Fifty-one years, and it was taken away because this guy put very conservative members on the Supreme Court.",,0
He takes credit for taking it away.,,0
What's he going to do?,,0
"What's he going to do, in fact, if the MAGA Republicans, he gets elected and the MAGA Republicans control the Congress and they pass a universal ban on abortion, period, across the board at six weeks or seven or eight or ten weeks, something very, very conservative.",,0
Is he going to sign that bill?,,1
I'll veto it.,,0
He'll sign it.,,0
" Because we worked very hard to get a bipartisan agreement that not only changed all of that, made sure that we are in a situation where you had no circumstance where they could come across the border with the number of border police there are now.",,0
We significantly increased  the number of asylum officers significantly.,,0
"By the way, the Border Patrol endorsed me, endorsed my position.",,0
"In addition to that, we found ourselves in a situation where when he was present, he was taking, separating babies from their mothers, putting them in cages, making sure the families were separated.",,0
That's not the right way to go.,,0
"What I've done since I've changed the law, what's happened, I've changed it in a way that now you're in a situation where there are 40% fewer people coming across the border illegally.",,0
That's better than when he left office.,,0
And I'm going to continue to move until we get the total ban on the total initiative relative to what we're going to do with more border patrol and more asylum officers.,,0
 President Trump?,,0
I really don't know what he said at the end of that sentence.,,0
I don't think he knows what he said either.,,1
"Look, we had the safest border in the history of our country.",,0
All he had to do was leave it.,,0
All he had to do was leave it.,0.0,0
"He decided to open up our border, open up our country to people that are  from prisons, people that are from mental institutions, insane asylum, terrorists.",,0
"We have the largest number of terrorists coming into our country right now, all terrorists, all over the world, not just in South America, all over the world.",,0
"They come from the Middle East, everywhere.",,0
"All over the world, they're pouring in.",,0
"and this guy just left it open and he didn't need legislation because i didn't have legislation i said close the border we had the safest border in history in that final couple of months of my presidency we had according to border patrol who is great and by the way who endorsed me for president but i won't say that but they endorsed me for president  Brandon, just speak to him.",,0
"But look, we had the safest border in history.",,0
Now we have the worst border in history.,,0
There's never been anything like it.,,1
"And people are dying all over the place, including the people that are coming up.",,1
" The only terrorist who's done anything across the border is one who came along and killed three under his administration, killed an Al Qaeda person coming in and his administration, killed three American soldiers, killed three American soldiers.",,0
That's the only terrorist that's there.,,0
"I'm not saying no terrorist ever got through, but the idea they're emptying their prisons, we're welcoming these people.",,0
That's simply not true.,,0
There's no data to support what he said.,,0
"Once again, he's exaggerating.",,1
He's lying.,,1
Just one second.,,0
He said we kill three people.,,0
"The people we killed are al-Baghdadi and Soleimani, the two greatest terrorists, biggest terrorists anywhere in the world.",,0
"And it had a huge impact on everything, not just border, on everything.",,0
"He's the one that killed people with the bad water, including  hundreds of thousands of people dying and also killing our citizens when they come in.",,1
We are living right now in a rat's nest.,,0
"They're killing our people in New York, in California, in every state in the union because we don't have borders anymore.",,1
Every state is now a border.,,0
"And because of his ridiculous, insane and very stupid policies, people are coming in and they're killing our citizens at a level that we've never seen.",,1
We call it migrant crime.,,1
I call it Biden migrant crime.,,1
They're killing our citizens at a level that we've never seen before.,,1
And you're reading it like these three incredible young girls over the last few days.,,0
one of them i just spoke to the mother and he just had the funeral for this girl 12 years old this is horrible what's taken place what's taken place in our country we're literally an uncivilized country now he doesn't want it to be he just doesn't know he opened the borders nobody's ever seen anything like and we have to get a lot of these people out or we have to get them out fast because they're going to destroy our country just take a look at where they're living  They're living in luxury hotels in New York City and other places.,,1
Our veterans are on the street.,,0
They're dying because he doesn't care about our veterans.,,1
He doesn't care.,,0
He doesn't like the military at all.,,0
And he doesn't care about our veterans.,,0
Nobody been worse.,,0
I had the highest approval rating for veterans taking care of the VA.,,0
He has the worst.,,1
He's gotten rid of all the things that I approved.,,0
"Choice, that I got through Congress, all of the different things I approved, they abandoned.",,0
"We had by far the highest, and now it's down in less than half because he's done all these great things that we did.",,0
"And I think he did it just because I approved it, which is crazy.",,0
But he has killed so many people at our border by allowing all of these people to come in.,,1
And it's a very sad day in America.,,1
 Every single thing he said is a lie.,,0
Every single one.,,0
"For example, veterans are a hell of a lot better off since I passed the PACT Act.",,0
One million of them now have insurance and their families have it.,,0
"Their families have it because what happened, whether it was Agent Orange or burn pits, they're all being covered now.",,0
And his group opposed that.,,0
We're also in a situation where we have great respect for veterans.,,0
My son spent a year in Iraq.,,0
"living next to one of those burn pits, came back with stage four glioblastoma.",,1
"I was recently in France for D-Day, and I spoke about those heroes that died.",,0
"I went to the World War II cemetery, World War I cemetery he refused to go to.",,0
"He was standing with his four-star general, and he told me, he said, I don't want to go in there because there are a bunch of losers and suckers.",,1
"My son was not a loser, was not a sucker.",,1
You're the sucker.,,0
You're the loser.,,1
President Trump?,,0
"First of all, that was a made-up quote, suckers and losers.",,1
They made it up.,,0
"It was in a third-rate magazine that's failing, like many of these magazines.",,0
He made that up.,,0
He put it in commercials.,,0
We've notified him.,,0
We had 19 people that said I didn't say it.,,0
And think of this.,,0
Who would say I'm at a cemetery or I'm talking about our veterans?,,0
Because nobody's taking better care.,,0
"I'm so glad this came up, and he brought it up.",,0
There's nobody that's taken better care of our soldiers than I have.,,0
"To think that I would, in front of generals and others, say suckers and losers.",,1
We have 19 people that said it was never said by me.,,0
"It was made up by him, just like Russia, Russia, Russia was made up, just like the 51 intelligence agents are made up.",,0
"Just like the new thing with the 16 economists are talking, it's the same thing.",,0
51 intelligence agents said that the laptop was Russia disinformation.,,0
It wasn't.,,0
"That came from his son, Hunter.",,0
It wasn't Russia disinformation.,,0
"He made up the suckers and losers, so he should apologize to me right now.",,0
" Four-star general standing to your side who was on your staff who said you said it, period.",,1
That's number one.,,0
"And number two, the idea, the idea that I have to apologize to you for anything along the line.",,0
We've done more for veterans than any president has in American history.,,0
American history.,,1
And they now are in their family.,,0
The only sacred obligation we have as a country is to care for our veterans when they come home and their families and equip them when they go to war.,,0
That's what we're doing.,,0
That's what the VA is doing now.,,0
They're doing more for veterans than ever before in our history.,,0
"First of all,  Our veterans and our soldiers can't stand this guy.",,0
They can't stand him.,,1
"They think he's the worst commander in chief, if that's what you call him, that we've ever had.",,0
They can't stand him.,0.0,1
So let's get that straight.,,0
And they like me more than just about any of them.,,0
And that's based on every single bit of information.,,0
"As far as Russia and Ukraine, if we had a real president, the president that knew that was respected by Putin,  he would have never he would have never invaded ukraine a lot of people are dead right now much more than people know you know they talk about numbers you can double those numbers maybe triple those numbers  He did nothing to stop it.",,0
"In fact, I think he encouraged Russia from going in.",,0
I'll tell you what happened.,,0
He was so bad with Afghanistan.,,0
"It was such a horrible embarrassment, most embarrassing moment in the history of our country that when Putin watched that and he saw the incompetence that he should he should have fired those generals like I fired the one that you mentioned.",,1
"And so he's got no love lost, but he should have fired those generals.",,1
No general got fired for the most embarrassing moment.,,1
"moment in the history of our country, Afghanistan, where we left billions of dollars of equipment behind.",,0
"We lost 13 beautiful soldiers, and 38 soldiers were obliterated.",,1
"And by the way, we left people behind, too.",,0
We left American citizens behind.,,0
"When Putin saw that, he said, you know what?",,0
I think we're going to go in and maybe take my—this was his dream.,,0
"I talked to him about it, his dream.",,0
"The difference is, he never would have invaded  ukraine never just like israel would have never been invaded in a million years by hamas you know why because iran was broke with me i wouldn't let anybody do business with them they ran out of money they were broke they had no money for hamas they had no money for anything no money for terror that's why you had no terror at all during my administration this place the whole world is blowing up under him president biden",,0
" never heard so much malarkey in my whole life look the fact of the matter is that we're in a situation where let's take the last point first iran attacked american troops kill caused brain damage for a number of these troops and he did nothing about it recently when he was president there they attacked he said they're just having headaches that's all it is but he didn't do a thing when the attack took place number one number two  We got over 100,000 Americans and others out of Afghanistan during that airlift.",,1
"Number three, we found ourselves in a situation where if you take a look at what Trump did in Ukraine,  This guy told Trump, do whatever you want and do whatever you want.",,0
"And that's exactly what Trump did to Putin, encourage him, do whatever you want.",,0
And he went in.,,0
And listen to what he said when he went in.,,0
"He was going to take Kiev in five days, remember, because it's part of the old Soviet Union.",,0
"That's what he wanted to reestablish, Kiev.",,0
"And he, in fact, didn't do it at all.",,0
He wasn't able to get it done.,,0
"And they've lost thousands and thousands of troops, 500,000 troops.",,0
"No, they're not acceptable.",,0
"But look, this is a war that never should have started.",,0
"If we had a leader in this war, he led everybody along.",,0
He's given $200 billion now or more  to Ukraine.,,0
He's given $200 billion.,,0
That's a lot of money.,,0
I don't think there's ever been anything like it.,,1
"Every time that Zelensky comes to this country, he walks away with $60 billion.",,0
He's the greatest salesman ever.,,1
And I'm not knocking him.,,0
I'm not knocking anything.,,0
I'm only saying the money that we're spending on this war  And we shouldn't be spending.,,0
It should have never happened.,,0
I will have that war settled between Putin and Zelensky as president-elect before I take office on January 20th.,,0
I'll have that war settled.,,0
"People being killed so needlessly, so stupidly.",,1
"And I will get it settled, and I'll get it settled fast before I take office.",,0
"President Biden, you have a minute.",,0
 The fact is that Putin is a war criminal.,,0
He's killed thousands and thousands of people.,,0
And he has made one thing clear.,,0
"He wants to reestablish what was part of the Soviet empire, not just a peace.",,0
He wants all of Ukraine.,,0
That's what he wants.,,0
And then do you think he'll stop there?,,0
"Do you think he'll stop when he, if he takes Ukraine?",,0
What do you think happens to Poland?,,0
What do you think of Belarus?,,0
What do you think happens to those NATO countries?,,0
"And so if you want a war, you ought to find out what he's going to do, because if in fact he does what he says and walks away, by the way, all that money we give Ukraine and from weapons we make here in the United States, we give them the weapons, not the money at this point.",,0
And our NATO allies have produced as much funding for Ukraine as we have.,,0
That's why we're strong.,,0
" Number one, everyone from the United Nations Security Council straight through to the G7 to the Israelis and Netanyahu himself have endorsed the plan I put forward, endorsed the plan I put forward, which has three stages to it.",,0
The first stage is treat the hostages for a ceasefire.,,0
Second phase is a ceasefire with additional conditions.,,0
The third phase is the end of the war.,,0
The only one who wants the war to continue is Hamas.,,0
"Number one, they're the only ones standing out.",,0
We're still pushing hard to get them to accept.,,0
"In the meantime, what's happened?",,0
"In Israel, the only thing I've denied Israel was 2,000-pound bombs.",,0
They don't work very well in populated areas.,,0
They kill a lot of innocent people.,,0
We're providing Israel with all the weapons they need and when they need them.,,0
"And by the way, I'm the guy that organized the world against Iran when they had a full-blown intercontinental ballistic missile attack on Israel.",,0
No one was hurt.,,0
No one Israeli was accidentally killed.,,0
And it stopped.,,0
We saved Israel.,,0
We are the biggest producer of support for Israel of anyone in the world.,,0
And so there are two different things.,,0
Hamas cannot be allowed to be continued.,,0
We continue to send our experts and our intelligence people as to how they can get Hamas like we did bin Laden.,,0
You don't have to do it.,,0
"And by the way, they've been greatly weakened, Hamas, greatly weakened, and they should be.",,1
They should be eliminated.,,0
But you've got to be careful for using certain weapons among population centers.,,0
Just going back to Ukraine for one second.,,0
We have an ocean separating us.,,0
"The European nations together have spent $100 billion, or maybe more than that, less than us.",,0
"Why doesn't he call them, say, you've got to put up your money like I did with NATO?",,0
I got them to put up hundreds of billions of dollars.,,0
The secretary general of NATO said Trump did the most incredible job I've ever seen.,,0
They wouldn't have any.,,0
They were going out of business.,,1
We were spending almost 100% of the money was paid by us.,,0
He didn't do that.,,0
He's getting all... You got to ask these people to put up the money.,,0
"We're over $100 billion more spent, and it has a bigger impact on them because of location, because we have an ocean in between.",,0
You got to ask them.,,0
"As far as Israel,  And Hamas, Israel's the one that wants to go.",,0
He said the only one who wants to keep going is Hamas.,,0
"Actually, Israel is the one.",,0
And you should let him go and let him finish the job.,,0
He doesn't want to do it.,,0
"He's become like a Palestinian, but they don't like him because he's a very bad Palestinian.",,0
He's a weak one.,,1
"President Biden, do you have a minute?",,0
I've never heard so much foolishness.,,1
This is a guy who wants to get out of NATO.,,0
Are you going to stay in NATO?,,0
He's going to pull out of NATO.,,0
The idea that we have our strength lies in our alliances as well.,,0
"It may be a big ocean, but are we ever able to avoid a war in Europe, a major war in Europe?",,0
"What happens if, in fact, you have Putin continue to go into NATO?",,0
We have an Article 5 agreement.,,0
Attack on one is attack on all.,,0
"You want to start the nuclear war he keeps talking about, go ahead, let Putin go in and control Ukraine and then move on to Poland and other places.",,0
You see what happens then?,,0
He has no idea what the hell he's talking about.,,1
"And by the way, I got 50 other nations around the world to support Ukraine, including Japan and South Korea, because they understand that this kind of dislocation has a serious threat to the whole world peace.",,0
No major war in Europe has ever been able to be contained just to Europe.,,0
I'd have to see.,,0
"But before we do that, the problem we have is that we spend all the money.",,0
So they kill us on trade.,,0
I made great trade deals with the European nations.,,0
"Because if you add them up, they're about the same size economically.",,0
Their economy is about the same size as the United States.,,0
"And they were written, no cars, no, they don't want anything that we have, but we're supposed to take their cars, their food, their everything, their agriculture.",,0
I changed that.,,0
But the big thing I change is they don't want to pay.,,0
And the only reason that he can play games with NATO is because I got them to put up hundreds of billions of dollars.,,0
"I said, and he's right about this, I said, no, I'm not going to support NATO if you don't pay.",,0
"They asked me that question, would you guard us against Russia at a very secret meeting of the 28 states at that time, nations at that time?",,0
"And I said, no, if you don't pay, I won't do that.",,0
And you know what happened?,,0
Billions and billions of dollars came flowing in the next day and the next months.,,0
But now we're in the same position.,,0
We're paying everybody's bills.,,0
"Well, I don't think too many believe that.",,0
And let me tell you about January 6th.,,0
"On January 6th, we had a great border, nobody coming through, very few.",,0
"On January 6th, we were energy independent.",,0
"On January 6th, we had the lowest taxes ever.",,0
We had the lowest regulations ever.,,0
"On January 6th, we were respected all over the world.",,0
"All over the world, we were respected.",,0
"And then he comes in, and we're now left at.",,0
We're like a bunch of stupid people.,,0
What happened to the United States' reputation under this man's leadership  is horrible including weaponization which i'm sure at some point you'll be talking about where he goes after his political opponent because he can't beat him fair and square,,0
"Well, I didn't say that to anybody.",,0
I said peacefully and patriotically.,,0
"And Nancy Pelosi, if you just watched the news from two days ago, on tape to her daughter, who's a documentary filmmaker, like they say,  But she's saying, oh, no, it's my responsibility.",,0
I was responsible for this.,,0
"Because I offered her 10,000 soldiers or National Guard, and she turned them down.",,0
"And the mayor of, in writing, by the way, the mayor, in writing, turned it down, the mayor of DC.",,0
They turned it down.,,0
"I offered $10,000 because I could see.",,0
I had virtually nothing to do.,,0
They asked me to go make a speech.,,0
I could see what was happening.,,0
Everybody was saying they're going to be there on January 6.,,0
They're going to be there.,,1
"And I said, you know what?",,0
There's a lot of people coming.,,0
You could feel it.,,0
"You could feel it, too.",,0
And you could feel it.,,0
"And I said, they ought to have some National Guard or whatever.",,0
"And I offered it to her, and she now admits that she turned it down.",,0
"And it was the same day she was, I don't know, he can't be very happy with her daughter because it made her into a liar.",,1
"She said, I take full responsibility for January 6th.",,0
" He encouraged those folks to go up on Capitol Hill, number one.",,0
I sat in the dining room off the Oval Office.,,0
"He sat there for three hours, three hours watching, begging, being begged by his vice president and a number of his colleagues in the Republican side as well to do something, to call for a stop, to end it.",,1
"Instead, he talked  They've talked about these people being patriots and great patrons of America.",,0
"In fact, he says he'll not forgive them for what they've done.",,0
They've been convicted.,,0
"He says he wants to commute their sentences and say that, you know, he went to every single court in the nation.",,0
"I don't know how many cases, scores of cases, including the Supreme Court.",,0
"And they said, they said, no, no, this guy, this guy is responsible for doing what is being, what was done.",,0
he did do a damn thing and these people should be in jail and they should be the ones who are being held accountable and he wants to let them all out and now he says if he loses again such a whiner that he is that it could be a bloodbath thank you president biden president trump,,1
" What they've done to some people that are so innocent, you ought to be ashamed of yourself.",,0
"What you have done, how you've destroyed the lives of so many people.",,1
"When they ripped down Portland, when they ripped down many other cities, you go to Minnesota, Minneapolis, what they've done there with the fires all over the city.",,0
"If I didn't bring in the National Guard, that city would have been destroyed.",,1
When you look at all of the  They took over big chunks of Seattle.,,0
I was all set to bring in the National Guard.,,0
"They heard that, they saw them coming, and they left immediately.",,0
What he said about this whole subject is so off.,,0
Peacefully patriotic.,,0
One other thing.,,0
"The unselect committee, which is basically two horrible Republicans that are all gone now, out of office, and Democrats, all Democrats, they destroyed and deleted all of the information they found because they found out we were right.",,0
We were right.,,0
And they deleted and destroyed all of the information.,,0
They should go to jail for that.,,0
"If a Republican did that, they'd go to jail.",,0
" The only person in this stage is a convicted felon, is the man I'm looking at right now.",,0
"And the fact of the matter is, what he's telling you is simply not true.",,0
The fact is that there was no effort on his part to stop what was going on up in Capitol Hill.,,0
"And all those people, every one of those who were convicted deserves to be convicted.",,0
"The idea that they didn't kill somebody, just went in and broke down doors, broke the windows, occupied offices, turned over desks,  turn them over statutes.",,0
The idea that those people are patriots?,,0
Come on.,,0
"When I asked him about the first two debates we had, the debates we had first time around, I said, will you denounce the Proud Boys?",,0
"He said, no, I'll tell them to stand by.",,0
"The idea he's refusing, will you denounce these guys?",,0
Will you denounce the people we're talking about now?,,0
Will you denounce the people who attacked that Capitol?,,0
What are you going to do?,,0
" Well, I said my retribution is going to be success.",,0
We're going to make this country successful again because right now it's a failing nation.,,0
My retribution is going to be success.,,0
"But when he talks about a convicted felon, his son is a convicted felon at a very high level.",,1
"His son is convicted, going to be convicted probably numerous other times.",,0
"He should have been convicted before, but his Justice Department let the statute of limitations lapse on the most important things.",,0
But he could be a convicted felon as soon as he gets out of office.,,0
Joe could be a convicted felon with all of the things that he's done.,,0
He's done horrible things.,,0
