Texto,Etiqueta
"Small businessmen and women, African-American, Asian Americans, Latino Americans, female Americans would be able to start their businesses.",0
"Our general economy, our national economy, our mainstream economy is democratic, is based on incentives, a small ""d"" Al, it's capitalism and incentives for working and saving and investing and producing, and families and the things that really lead to progress up that ladder that we call ""The American Dream,"" but is what is really universal.",5
We have achieved extraordinary prosperity.,0
Let me just say that obviously tonight we're going to hear some phony numbers about what I think and what we ought to do.,0
I think it's the hard-working people of America's money and I want to share some of that money with you so you have more money to build and save and dream for your families.,0
You leave future generations with tremendous IOUs.,0
A promise made will be a promise kept.,5
"Seniors now understand that the promise made will be a promise kept, but younger workers now understand we better have a government that trusts them and that's exactly what I'm going to do.",5
"For those of you who he wants to scare into the voting booth to vote for him, hear me loud and clear.",2
It's time for a fresh start after a season of cynicism.,0
I will fight for middle-class families and working men and women and I will never let you down.,0
"You know, this man has no credibility on the issue.",2
"Throughout my career in public service, I have fought for the working men and women of this country, middle-class families.",0
"She gets a small pension, but in order to pay for her prescription drug benefits, she has to go out seven days a week several hours a day picking up cans.",0
"I want to make sure the seniors have the promise made will be a promise kept, but I want younger workers to be able to manage some of their own money, some of their own payroll taxes in the private sector under certain guidelines to get a better rate of return on your own money.",5
I've had a strong record of working with Democrats and Republicans in Texas to make sure no child is left behind.,5
I guess my answer to that is the man is running on Medi-scare.,0
"Instead of squabbling and finger pointing, he gets immediate help.",0
It's a scaring -- he's trying to scare people in the voting booth.,2
I think what the next president ought to do is to promote a culture of life in America.,5
Surely we can fight off these laws that will encourage doctors to -- to allow doctors to take the lives of our seniors.,4
Surely we can work together to create a cultural life so some of these youngsters who feel like they can take a neighbor's life with a gun will understand that that's not the way America is meant to be.,4
"First of all Â I want to make it clear, our military is the strongest, best-trained, best-equipped, best-led fighting force in the world and in the history of the world.",0
My uncle was a victim of poisonous gas there.,0
The other day I was honored to be flanked by Colin Powell and General Norman Schwartzkopf recently stood by me side and agreed with me.,1
"Tonight in the audience there's one elected state senator who is a Democrat, a former state-wide officer who is a Democrat, a lot of Democrats who are here in the debate to -- because they want to show their support that shows I know how to lead.",1
This man has been disparaging my plan with all this Washington fuzzy math.,0
He's called them phony and fuzzy.,0
Take for example the marriage penalty.,0
"If you itemize your tax return, you get no marriage penalty relief.",0
"He has a 15-year-old daughter named Caley, who is in Sarasota High School. Her science class was supposed to be for 24 students. She's the 36th student in that classroom. They sent me a picture of her in the classroom. They can't squeeze another desk in for her, so she has to stand during class.",0
It's an illusion.,0
It broke my heart to go to the flood scene in Del Rio where a fellow and his family got completely uprooted.,0
I cast my lot with the people even when it means that you have to stand up to some powerful interests who are trying to turn the -- the policies and the laws to their advantage.,1
The big drug companies support Governor Bush's prescription drug proposal.,2
They oppose mine because they don't want to get Medicare involved because they're afraid that Medicare will negotiate lower prices for seniors who currently pay the highest prices of all.,2
We have gone from the biggest deficits to the biggest surpluses.,3
We have gone from a triple-dip recession during the previous 12 years to a tripling of the stock market.,3
"Instead of a high unemployment, we have the lowest African-American and Latin American unemployment rates in history and 22 million new jobs.",3
"I remember the vice president saying, ""Just give us a chance to get up there, we're going to make sure you get tax cuts."" It didn't happen.",2
I think this is an extraordinarily important decision we'll make on November 7th.,0
We've graduated 15 million kids from high school in the last few years who can't read at a significant level. They are permanently sentenced to a lifetime of failure.,0
To help local school districts build new buildings so our children are not learning in crumbling classrooms.,0
"Now, that is a tremendous life-saving change which will help people carry on their education and allow them to develop the kinds of skills that will help them succeed in the hi-tech economy of today.",0
People are fed up. They've had enough with the bickering and the partisanship that seems to characterize the debate that goes on in the nation's capital.,0
Partly because he didn't point the finger of blame looking for scapegoats he was quick to share the credit.,0
The fact is the Medicare problems have not been addressed. The educational problem has not been addressed.,0
